Year,State,District,Reg.No,Donor_s_no,Donor_Name,Donor_type,Donor_Address,Purpose,Amount (INR)
2017-2018,Delhi,Delhi,231650409,255,GALEOTTI FABIO,Individual,"PASSPORT NO.YA6788062 , Italy, Email Id: , Website Address :",Social,6600
2017-2018,Delhi,Delhi,231650409,256,ASCIOTI DAVID GIANREMO,Individual,"PASSPORT NO.YA0258006 , Italy, Email Id: , Website Address :",Social,10000
2017-2018,Delhi,Delhi,231650409,257,FRANCA GUERPERA,Individual,"PASSPORT NO.5259337 , Italy, Email Id: , Website Address :",Social,6500
2017-2018,Delhi,Delhi,231650409,258,CARESTIATO LAURA,Individual,"PASSPORT NO.4A92146521 , Italy, Email Id: , Website Address :",Social,13980
2017-2018,Delhi,Delhi,231650409,259,CHIEREGATI CATERINA,Individual,"PASSPORT NO.4B3598839 , Italy, Email Id: , Website Address :",Social,12600
2017-2018,Delhi,Delhi,231650409,260,SALVATORE GODINO,Individual,"PASSPORT NO.YA2684440 , Italy, Email Id: , Website Address :",Social,13983
2017-2018,Delhi,Delhi,231650409,261,CHRISTINA HICOLA,Individual,"PASSPORT NO.AA4080055o , Italy, Email Id: , Website Address :",Social,5500
2017-2018,Delhi,Delhi,231650409,262,ALESSANDRO PRANES,Individual,"H PASSPORT NO. ,   Italy, Email Id: , Website Address :",Social,8500
2017-2018,Delhi,Delhi,231650409,263,WACTER BAROFFIO,Individual,"f o PASSPORT  NO.YA9429302 , Italy, Email Id: , Website Address :",Social,990
2017-2018,Delhi,Delhi,231650409,264,FULVIO TRENTIN,Individual,"PASSPORT NO.YA5146797 , Italy, Email Id: , Website Address :",Social,6400
2017-2018,Delhi,Delhi,231650409,265,VIYAIYA TRENTIN i,Individual,"PASSPORT NO.YB2546515 , Italy, Email Id: , Website Address :",Social,6300
2017-2018,Delhi,Delhi,231650409,266,M PAROTTO MARCO,Individual,"PASSPORT NO.YA3499333 , Italy, Email Id: , Website Address :",Social,8100
2017-2018,Delhi,Delhi,231650409,267,BARO FFIO WACNER,Individual,"PASSPORT NO.YA9429302 , Italy, Email Id: , Website Address :",Social,6300
2017-2018,Delhi,Delhi,231650409,268,PROVVEDI MARCO,Individual,"PASSPORT NO.YA0371169 , Italy, Email Id: , Website Address :",Social,8880
2017-2018,Delhi,Delhi,231650409,269,MATHILDE CENTOBELLI,Individual,"PASSPORT NO.YA1471177 , Italy, Email Id: , Website Address :",Social,11250
2017-2018,Delhi,Delhi,231650409,270,ANTONIO PRINCIPE LYONGO,Individual,"PASSPORT NO.YA5677706 , Italy, Email Id: , Website Address :",Social,9990
2017-2018,Delhi,Delhi,231650409,271,FABIANA COZZA CAPOSANI,Individual,"PASSPORT NO.1YB1868850 , Italy, Email Id: , Website Address :",Social,11455
2017-2018,Delhi,Delhi,231650409,272,NURHAYATI OMA ENUNG,Individual,"PASSPORT NO.B0809560 , Indonesia, Email Id: , Website Address :",Social,5150
2017-2018,Delhi,Delhi,231650409,273,ACHINTYA NILSEM,Individual,"PASSPORT NO.B7511459 , Indonesia, Email Id: , Website Address :",Social,6000
2017-2018,Delhi,Delhi,231650409,274,DOAN PHUOG TAN VUONG,Individual,"PASSPORT NO.C3FHH2KLR , Germany , Email Id: , Website Address :",Social,5000
2017-2018,Delhi,Delhi,231650409,275,VWONG DOAN,Individual,"PASSPORT NO.C3FHH2KLR , Germany , Email Id: , Website Address :",Social,625
2017-2018,Delhi,Delhi,231650409,276,WRICH CLAUDIA,Individual,"PASSPORT NO.C89KP7NRP , Germany , Email Id: , Website Address :",Social,9704
2017-2018,Delhi,Delhi,231650409,277,CHARLOTTE ZIMMERRMANN,Individual,"PASSPORT NO.C8GK3GNHY , Germany , Email Id: , Website Address :",Social,11540
2017-2018,Delhi,Delhi,231650409,278,JURGEN KUBLER,Individual,"o PASSPORT NO. C86H7JYHHK , Germany , Email Id: , Website Address :",Social,7400
2017-2018,Delhi,Delhi,231650409,279,THOMAS MOG,Individual,"f PoASSPORT NO.HTLN7HT ,  Germany , Email Id: , Website Address :",Social,10200
2017-2018,Delhi,Delhi,231650409,280,CHRISTINE HAUFF,Individual,"PASSPORT NO.C5HTLN7HT , Germany , Email Id: , Website Address :",Social,9970
2017-2018,Delhi,Delhi,231650409,281,CONRADI i CHRISTIANE M,Individual,"PASSPORT NO.C5HHGXWTS , Germany , Email Id: , Website Address :",Social,11295
2017-2018,Delhi,Delhi,231650409,282,NICOLE EL MOURID,Individual,"PASSPORT NO.C5HPJJ93F , Germany , Email Id: , Website Address :",Social,3361
2017-2018,Delhi,Delhi,231650409,283,MARKUS WALTER,Individual,"PASSPORT NO.C5HHMNYV4 , Germany , Email Id: , Website Address :",Social,4720
2017-2018,Delhi,Delhi,231650409,284,VUONG DOAN PHVOC FAN,Individual,"PASSPORT NO.C3FHH2KLR , Germany , Email Id: , Website Address :",Social,8665
2017-2018,Delhi,Delhi,231650409,285,CHRISTOF RIESE,Individual,"PASSPORT NO.C31VWTG77 , Germany , Email Id: , Website Address :",Social,12938
2017-2018,Delhi,Delhi,231650409,286,REGINA LIPP,Individual,"PASSPORT NO.CFH3YJGXK , Germany , Email Id: , Website Address :",Social,16937
2017-2018,Delhi,Delhi,231650409,287,WALIA PATRICK,Individual,"PASSPORT NO.CG62T64YK , Germany , Email Id: , Website Address :",Social,3238
2017-2018,Delhi,Delhi,231650409,288,LUSTIG WOLFGANG EKKHANO,Individual,"PASSPORT NO.C9328LNNO , Germany , Email Id: , Website Address :",Social,4739
2017-2018,Delhi,Delhi,231650409,289,WERTEBACH VERONIKA,Individual,"PASSPORT NO.C4JJF5M0V , Germany , Email Id: , Website Address :",Social,715
2017-2018,Delhi,Delhi,231650409,290,DR. BRANDL ALMUT RENATE,Individual,"PASSPORT NO.C4WXHJGF2 , Germany , Email Id: , Website Address :",Social,8260
2017-2018,Delhi,Delhi,231650409,291,ROSENGARTH CAROLINE CHRISTINE,Individual,"PASSPORT NO.CGTTN3YST , Germany , Email Id: , Website Address :",Social,3810
2017-2018,Delhi,Delhi,231650409,292,RIEBENSAHM KATJA IRENE ULRIKE,Individual,"o PASSPORT NO.C4VCYH3VJ9 , Germany , Email Id: , Website Address :",Social,8500
2017-2018,Delhi,Delhi,231650409,293,GUSTA WULF,Individual,"f PoASSPORT NO.C799N6734 ,  Germany , Email Id: , Website Address :",Social,9238
2017-2018,Delhi,Delhi,231650409,294,THEISSER KLAUS,Individual,"PASSPORT NO.CEYRGXLK7 , Germany , Email Id: , Website Address :",Social,7210
2017-2018,Delhi,Delhi,231650409,295,MONIKA i KOHLER M,Individual,"PASSPORT NO.C95X01LRC , Germany , Email Id: , Website Address :",Social,7713
2017-2018,Delhi,Delhi,231650409,296,HANS JOACHIM KALK,Individual,"PASSPORT NO.C2ZWYG387 , Germany , Email Id: , Website Address :",Social,9708
2017-2018,Delhi,Delhi,231650409,297,KONRATH MARIANNE,Individual,"PASSPORT NO.C5LOGPKGP , Germany , Email Id: , Website Address :",Social,13700
2017-2018,Delhi,Delhi,231650409,298,JOACHIM TRUMPF GROUP,Individual,"PASSPORT NO.C8TZM785L , Germany , Email Id: , Website Address :",Social,11410
2017-2018,Delhi,Delhi,231650409,299,BIJELL JENS,Individual,"PASSPORT NO.C511012MPH , Germany , Email Id: , Website Address :",Social,10485
2017-2018,Delhi,Delhi,231650409,300,BRITTA SCHNEIDER,Individual,"PASSPORT NO.C744C9XYX , Germany , Email Id: , Website Address :",Social,8085
2017-2018,Delhi,Delhi,231650409,301,OTMAR JOSEF SCHRAMM,Individual,"PASSPORT NO.C2XG7791C , Germany , Email Id: , Website Address :",Social,3355
2017-2018,Delhi,Delhi,231650409,302,MONIKA LISA MAURACHER,Individual,"PASSPORT NO.C6ZR47K24 , Germany , Email Id: , Website Address :",Social,520
2017-2018,Delhi,Delhi,231650409,303,GUDRUN MEISE,Individual,"PASSPORT NO.C7L3F9ZLZ , Germany , Email Id: , Website Address :",Social,4000
2017-2018,Delhi,Delhi,231650409,304,KARL HEINZ VELLER,Individual,"PASSPORT NO.C8TPGL74F , Germany , Email Id: , Website Address :",Social,1665
2017-2018,Delhi,Delhi,231650409,305,KATJA RIEBEN SAHM,Individual,"PASSPORT NO.C4VCY3VJ9 , Germany , Email Id: , Website Address :",Social,8500
2017-2018,Delhi,Delhi,231650409,306,KARIN PRAPPBACHER,Individual,"o PASSPORT NO.C96PRH4164 , Germany , Email Id: , Website Address :",Social,10810
2017-2018,Delhi,Delhi,231650409,307,PATRICE ELLEWUA,Individual,"f PoASSPORT NO.15AK140342 ,  France, Email Id: , Website Address :",Social,15200
2017-2018,Delhi,Delhi,231650409,308,CALVEL MASINI MYLENE PASCALE GEORGETE,Individual,"PASSPORT NO.13AB40862 , France, Email Id: , Website Address :",Social,605
2017-2018,Delhi,Delhi,231650409,309,KRIEG NATHAN,Institutional,"PASSPORT NO.18AD02856 , France, Email Id: , Website Address :",Social,4293
2017-2018,Delhi,Delhi,231650409,310,i M LAURENT CHANTAL,Individual,"PASSPORT NO.17FA73048 , France, Email Id: , Website Address :",Social,1228
2017-2018,Delhi,Delhi,231650409,311,MASSOT MARJORIE JEANNE MARIE,Individual,"PASSPORT NO.12AV96149 , France, Email Id: , Website Address :",Social,3600
2017-2018,Delhi,Delhi,231650409,312,PIERRE FELIX,Individual,"PASSPORT NO.18AA08619 , France, Email Id: , Website Address :",Social,10908
2017-2018,Delhi,Delhi,231650409,313,HEKMANN ENELY,Individual,"PASSPORT NO.KE0118404 , Estonia , Email Id: , Website Address :",Social,12095
2017-2018,Delhi,Delhi,231650409,314,ANDREA LAZSLO,Individual,"PASSPORT NO.HP143879 , Canada, Email Id: , Website Address :",Social,3245
2017-2018,Delhi,Delhi,231650409,315,CHAUDHARI BISWAJET,Individual,"PASSPORT NO.H9921752 , Canada, Email Id: , Website Address :",Social,14500
2017-2018,Delhi,Delhi,231650409,316,LEE DALE FRANCIS,Individual,"PASSPORT NO.AB213364 , Canada, Email Id: , Website Address :",Social,3610
2017-2018,Delhi,Delhi,231650409,317,JOHN STEWART,Individual,"PASSPORT NO.HG192621 , Canada, Email Id: , Website Address :",Social,3188
2017-2018,Delhi,Delhi,231650409,318,ASNIS MOREIRA LUCAS,Individual,"PASSPORT NO.FU936765 , Brazil, Email Id: , Website Address :",Social,4830
2017-2018,Delhi,Delhi,231650409,319,SETZ EVA MARIA,Individual,"PASSPORT NO.3925256 , Austria, Email Id: , Website Address :",Social,5265
2017-2018,Delhi,Delhi,231650409,320,ZAUNER KARL,Individual,"PASSPORT NO.P3164436 , Austria, Email Id: , Website Address :",Social,10000
2017-2018,Delhi,Delhi,231650409,321,KNOETIG CORNELIA,Individual,"PASSPORT NO.3460300 , Austria, Email Id: , Website Address :",Social,175
2017-2018,Delhi,Delhi,231650409,322,DAVID FUNSTON,Individual,"AUSTRALIA , Australia, Email Id: , Website Address :",Social,10480
2017-2018,Delhi,Delhi,231650409,323,ELVIRA FATTDRE,Individual,"PASSPORT NO.P44802118 , Australia, Email Id: , Website Address :",Social,8400
2017-2018,Delhi,Delhi,231650409,324,DEBORAH FUNSTON,Individual,"o H PASSPORT NO.N7372702 ,   Australia, Email Id: , Website Address :",Social,6900
2017-2018,Delhi,Delhi,231650409,325,DAVID FUNSTON,Individual,"f o PASSPORT  NO.PA7077067 , Australia, Email Id: , Website Address :",Social,6900
2017-2018,Delhi,Delhi,231650409,326,CARLOS ADESSI,Individual,"Passport No.1450557 , Argentina, Email Id: , Website Address :",Social,6300
2017-2018,Delhi,Delhi,231650409,327,VANDER VLUGT i ANNE CLAUSH,Institutional,"PASSPORT NO.EM195507 , Belgium, Email Id: , Website Address :",Social,14885
2017-2018,Delhi,Delhi,231650409,328,M FISHER SABINE,Individual,"PASSPORT NO.C5RGVK6M4 , Germany , Email Id: , Website Address :",Social,2477
2017-2018,Delhi,Delhi,231650409,329,ANN ISABEL FRGTAS,Individual,"PASSPORT NO.N301189 , Portugal, Email Id: , Website Address :",Social,18255
2017-2018,Delhi,Delhi,231650409,330,ULRICH RUTH,Individual,"PASSPORT NO.CG8GJMZM4 , Germany , Email Id: , Website Address :",Social,28918
2017-2018,Delhi,Delhi,231650409,331,DAVIDE BERTANIA,Individual,"PASSPORT NO.YB1632550 , Italy, Email Id: , Website Address :",Social,1651
2017-2018,Delhi,Delhi,231650409,332,FULCISITTORIO,Individual,"PASSPORT NO.YA7611331 , Italy, Email Id: , Website Address :",Social,8255
2017-2018,Delhi,Delhi,231650409,333,ROLLINO PATRIZIA,Individual,"PASSPORT NO.YA1596720 , Italy, Email Id: , Website Address :",Social,4128
2017-2018,Delhi,Delhi,231650409,334,SIMONE UNGERRER,Individual,"PASSPORT NO.C3FLW6H27 , Germany , Email Id: , Website Address :",Social,12382
2017-2018,Delhi,Delhi,231650409,335,VIKTORIA POPOVICV,Individual,"PASSPORT NO.C3JTJPZJN , Germany , Email Id: , Website Address :",Social,17085
2017-2018,Delhi,Delhi,231650409,336,MULLER BETTINA,Individual,"PASSPORT NO.C93535YP2 , Germany , Email Id: , Website Address :",Social,12857
2017-2018,Delhi,Delhi,231650409,337,JOHN STEWART,Individual,"PASSPORT NO.900B3CDCI , Thailand, Email Id: , Website Address :",Social,65070
2017-2018,Delhi,Delhi,231650409,338,NNYOMAN PARWATI,Individual,"PASSPORT NO.B5615476 , Indonesia, Email Id: , Website Address :",Social,28920
2017-2018,Delhi,Delhi,231650409,339,NYUSA LCIJA,Individual,"PASSPORT NO.LV3833936 , o Latvia , Email Id: , Website Address :",Social,10845
2017-2018,Delhi,Delhi,231650409,340,HARADA SHUZA BURO,Individual,"H PASSPORT NO.TR 8673121 , Japan, Email Id: , Website Address :",Social,5061
2017-2018,Delhi,Delhi,231650409,341,YOSHIKO SHIMOMURA,Individual,"f o PASSPORT   NO.TR4260953 , Japan, Email Id: , Website Address :",Social,2892
2017-2018,Delhi,Delhi,231650409,342,BENEDETTO ALYSSA MARIC,Individual,"PASSPORT NO. 545546826 , United States of America, Email Id: , Website Address :",Social,7230
2017-2018,Delhi,Delhi,231650409,343,STANLEY i JENNIFER M GRACE,Individual,"PASSPORT NO.539237905 , United States of America, Email Id: , Website Address :",Social,4338
2017-2018,Delhi,Delhi,231650409,344,SONDRA RAY,Individual,"PASSPORT NO.546304083 , United States of America, Email Id: , Website Address :",Social,36150
2017-2018,Delhi,Delhi,231650409,345,MARKUS RAY,Individual,"PASSPORT NO.546305911 , United States of America, Email Id: , Website Address :",Social,119295
2017-2018,Delhi,Delhi,231650409,346,HUA DEBORAH WOOD,Individual,"PASSPORT NO.538850769 , United States of America, Email Id: , Website Address :",Social,36222
2017-2018,Delhi,Delhi,231650409,347,VICTORIA KRUPSKAYA,Individual,"PASSPORT NO.721886658 , Russia, Email Id: , Website Address :",Social,7230
2017-2018,Delhi,Delhi,231650409,348,BORKOVSKAYA SVETLANA,Individual,"PASSPORT NO.718945528 , Russia, Email Id: , Website Address :",Social,7230
2017-2018,Delhi,Delhi,231650409,349,JULIA SNTEFAN,Individual,"PASSPORT NO.924234361 , Russia, Email Id: , Website Address :",Social,7230
2017-2018,Delhi,Delhi,231650409,350,OLGA CHEVCHENKO,Individual,"PASSPORT NO.750980710 , Russia, Email Id: , Website Address :",Social,10122
2017-2018,Delhi,Delhi,231650409,351,NATALIA MERINOVA,Individual,"PASSPORT NO.731146770 , Russia, Email Id: , Website Address :",Social,7230
2017-2018,Delhi,Delhi,231650409,352,ANNA ECSAKOVA,Individual,"PASSPORT NO.65N05017992 , Russia, Email Id: , Website Address :",Social,7230
2017-2018,Delhi,Delhi,231650409,353,COLLINS CIARA ANN,Individual,"PASSPORT NO.PC1177366 , United Kingdom, Email Id: , Website Address :",Social,3502
2017-2018,Delhi,Delhi,231650409,354,ANTONIETTA WIND HILL ROBSON,Individual,"PASSPORT NO.5429144664 , United Kingdom, Email Id: , Website Address :",Social,4378
2017-2018,Delhi,Delhi,231650409,355,LEONIE WILLOX,Individual,"PASSPORT NO.502905854 , Spain, Email Id: , Website Address :",Social,875
2017-2018,Delhi,Delhi,231650409,356,MANJHL BHATNAGAR,Individual,"o CANADA , Canada, Email Id: , Website Address :",Social,3928
2017-2018,Delhi,Delhi,231650409,357,MEENA BHATNAGAR,Individual,"H   CANADA , f Canada, Email Id: , Website Address :",Social,4910
2017-2018,Delhi,Delhi,231650409,358,SANEETA BHATNAGAR,Individual,"o  CANADA , Canada, Email Id: , Website Address :",Social,4910
2017-2018,Delhi,Delhi,231650409,359,MICHAEL PFENNINGER,Individual,"PASSPORT NO.X4341197 , Switzerland, Email Id: , Website Address :",Social,129900
2017-2018,Delhi,Delhi,231650409,360,LINDA OAKE i,Individual,"PASSPORT NO.PA5685150 , Australia, Email Id: , Website Address :",Social,12895
2017-2018,Delhi,Delhi,231650409,361,M JEREL MANI,Individual,"PASSPORT NO.PA4958895 , Australia, Email Id: , Website Address :",Social,3121
2017-2018,Delhi,Delhi,231650409,362,TATJANA PISEVIC,Individual,"PASSPORT NO.11485087 , Serbia, Email Id: , Website Address :",Social,27607
2017-2018,Delhi,Delhi,231650409,363,HESSE EL SABETH MARIA,Individual,"PASSPORT NO.C34P6GG64 , Germany , Email Id: , Website Address :",Social,18442
2017-2018,Delhi,Delhi,231650409,364,THOMAS  RUF,Individual,"PASSPORT NO.CG6P42LRO , Germany , Email Id: , Website Address :",Social,6495
2017-2018,Delhi,Delhi,231650409,365,RISO JRM TRAUTCHRISTIN E,Individual,"PASSPORT NO.C21KK8F75 , Germany , Email Id: , Website Address :",Social,1949
2017-2018,Delhi,Delhi,231650409,366,TRAMONOTORA NO PIETRO,Individual,"PASSPORT NO.YA5254230 , Indonesia, Email Id: , Website Address :",Social,4677
2017-2018,Delhi,Delhi,231650409,367,NOHE ALEXANDRA,Individual,"PASSPORT NO.C3HZRMMGZ , Germany , Email Id: , Website Address :",Social,15590
2017-2018,Delhi,Delhi,231650409,368,LALEH TORABI,Individual,"PASSPORT NO. C3JJ10PG1 , Germany , Email Id: , Website Address :",Social,6236
2017-2018,Delhi,Delhi,231650409,369,DANIELE BRAIDA,Individual,"PASSPORT NO.AA33660 , Italy, Email Id: , Website Address :",Social,13251
2017-2018,Delhi,Delhi,231650409,370,JOHANNES VOGT,Individual,"PASSPORT NO.C976K0RRY , Germany , Email Id: , Website Address :",Social,6236
2017-2018,Delhi,Delhi,231650409,371,ANNA WIFNER,Individual,"PASSPORT NO.P4889012 , Austria, Email Id: , Website Address :",Social,3118
2017-2018,Delhi,Delhi,231650409,372,PAOLO BIANDI,Individual,"PASSPORT NO.YA7686418 , o Italy, Email Id: , Website Address :",Social,7795
2017-2018,Delhi,Delhi,231650409,373,ELFRIDE MARIA THELEN,Individual,"H PASSPORT NO.42 209018 , Gerfmany , Email Id: , Website Address :",Social,10913
2017-2018,Delhi,Delhi,231650409,374,MIRA CHARLOTTE WIENER,Individual,"o   PASSPORT NO.42544272 , Austria, Email Id: , Website Address :",Social,7015
2017-2018,Delhi,Delhi,231650409,375,DEVOTEE,Individual,"ITALY , Italy, Email Id: , Website Address :",Social,11693
2017-2018,Delhi,Delhi,231650409,376,BARBEL BUNK i M,Individual,"PASSPORT NO.C23WC7PX7 , Germany , Email Id: , Website Address :",Social,7795
2017-2018,Delhi,Delhi,231650409,377,PETER FRIEDRICH NUCKEL,Individual,"PASSPORT NO.C805XZ731 , Germany , Email Id: , Website Address :",Social,14810
2017-2018,Delhi,Delhi,231650409,378,PATRIZIA ROLLINO,Institutional,"PASSPORT NO. YA1596720 , Italy, Email Id: , Website Address :",Social,3118
2017-2018,Delhi,Delhi,231650409,379,DEVOTEE,Individual,"LATVIA , Latvia , Email Id: , Website Address :",Social,18708
2017-2018,Delhi,Delhi,231650409,380,PETER SIEBER,Individual,"PASSPORT NO.C951VR2V , Germany , Email Id: , Website Address :",Social,4677
2017-2018,Delhi,Delhi,231650409,381,MATHIAS BERGHAN,Individual,"PASSPORT NO.C3JTYVNKT , Spain, Email Id: , Website Address :",Social,3898
2017-2018,Delhi,Delhi,231650409,382,SILVIA DE SORIA NIETO,Individual,"PASSPORT NO.PAC599633 , Spain, Email Id: , Website Address :",Social,3897
2017-2018,Delhi,Delhi,231650409,383,VIDA HISKUNAITE JAROSIENE,Individual,"PASSPORT NO. 23839269 , Lithuania , Email Id: , Website Address :",Social,7795
2017-2018,Delhi,Delhi,231650409,384,ASTI ASHRAM,Institutional,"ITALY , Italy, Email Id: , Website Address :",Social,3898
2017-2018,Delhi,Delhi,231650409,385,VANESSA DIETZEL,Individual,"PASSPORT NO. C4YMYZM8G , United Kingdom, Email Id: , Website Address :",Social,7795
2017-2018,Delhi,Delhi,231650409,386,CLAUDIA ZEHET BAUER,Individual,"PASSPORT NO.CGN47F0G5 , Germany , Email Id: , Website Address :",Social,3898
2017-2018,Delhi,Delhi,231650409,387,MONTEGOMERY SMITH,Individual,"Passport No.530652587 , United States of America, Email Id: , Website Address :",Social,7795
2017-2018,Delhi,Delhi,231650409,388,SRISTINA PAGNIN,Individual,"PASSPORT NO. NWP8KHKR6 , Netherlands, Email o Id: , Website Address :",Social,3118
2017-2018,Delhi,Delhi,231650409,389,ELFIE WISCHNEWSKI,Individual,"H PASSPORT NO.C 12RY6YJ6 , Gerfmany , Email Id: , Website Address :",Social,22605
2017-2018,Delhi,Delhi,231650409,390,VIKTORIA POPOVIC,Individual,"o   PASSPORT NO.C3JTJP2JV , Germany , Email Id: , Website Address :",Social,3898
2017-2018,Delhi,Delhi,231650409,391,KLAUS THEISSEN,Individual,"PASSPORT NO.C6YRGXLK7 , Germany , Email Id: , Website Address :",Social,5846
2017-2018,Delhi,Delhi,231650409,392,i M PIERO ORIANDI,Individual,"ITALY , Italy, Email Id: , Website Address :",Social,3897
2017-2018,Delhi,Delhi,231650409,393,GIAN PAOLO BARBERS,Individual,"PASSPORT NO.YA1714367 , Italy, Email Id: , Website Address :",Social,7795
2017-2018,Delhi,Delhi,231650409,394,HANS HEBBELINCK,Individual,"PASSPORT NO. EK307624 , Belgium, Email Id: , Website Address :",Social,1169
2017-2018,Delhi,Delhi,231650409,395,TAMARA FLACH,Individual,"PASSPORT NO.C3J9RZJ27 , Germany , Email Id: , Website Address :",Social,6236
2017-2018,Delhi,Delhi,231650409,396,BOSKO VITAS,Individual,"PASSPORT NO.114370704 , Croatia , Email Id: , Website Address :",Social,4677
2017-2018,Delhi,Delhi,231650409,397,MARZOCCHI FILIPPO,Individual,"PASSPORT NO.YA2802329 , Italy, Email Id: , Website Address :",Social,1559
2017-2018,Delhi,Delhi,231650409,398,CRIVELLER SIMONA,Individual,"PASSPORT NO.YA6951075 , Italy, Email Id: , Website Address :",Social,1949
2017-2018,Delhi,Delhi,231650409,399,SERRA PALMIRA,Individual,"PASSPORT NO.YA7923583 , Italy, Email Id: , Website Address :",Social,7795
2017-2018,Delhi,Delhi,231650409,400,MICHAEL TUFINOI,Individual,"PASSPORT NO. C3N5TCZ77 , Germany , Email Id: , Website Address :",Social,3730
2017-2018,Delhi,Delhi,231650409,401,TAHANI SHAHZAD,Individual,"NETHERLANDS , Netherlands, Email Id: , Website Address :",Social,7796
2017-2018,Delhi,Delhi,231650409,402,ELISABETH PETIK,Individual,"PASSPORT NO.3942641 , Austria, Email Id: , Website Address :",Social,1559
2017-2018,Delhi,Delhi,231650409,403,GARBACCIO PAOLA,Individual,"Passport No.YA5493966 , Italy, Email Id: , Website Address :",Social,4677
2017-2018,Delhi,Delhi,231650409,404,SIGRUN,Individual,"PASSPORT NO.C95HL7VM9 , Germany , Email Id: , Website Address :",Social,7795
2017-2018,Delhi,Delhi,231650409,405,ALEXANDRA NOHE,Individual,"o PASSPORT NO.C3H2RHMMG7 , Germany , Email Id: , Website Address :",Social,15590.22
2017-2018,Delhi,Delhi,231661510,1,WORLD FIRST UK LIMITED,Institutional,"MILLBANK TOWER, 21-24 MILLBANK LONDON , United Kingdom, Email Id: , Website Address :",Educational,8689
2017-2018,Delhi,Delhi,231661510,2,RESHMA A TIWARI,Individual,"435, ALLAMY COURT WEAT NEW YORK- NJ07093 , United States of America, Email Id: , Website Address :",Educational,9141
2017-2018,Delhi,Delhi,231661510,3,RAKESH OHRI,Individual,"117, YORK DOWNS DR, NORTH YORK ON M3H2G6 , Canada, Email Id: , Website Address :",Educational,6018
2017-2018,Delhi,Delhi,231661510,4,DHEERAJ GROVER,Individual,"KING STONE STREET, NJ07093, USA , United States of America, Email Id: , Website Address :",Educational,12074
2017-2018,Delhi,Delhi,231661510,5,GAURAV KHANNA,Individual,"314, MIDLAND COURT, WEST NEW YORG, NJ- 07093 (US) , United States of America, Email Id: , Website Address :",Educational,96119
2017-2018,Delhi,Delhi,231660075,1,Charities Aid Foundation India,Institutional,"Plot No.2, First Floor, OFC Pocket, Sector-C, Nelson Mandela Marg, Vasant Kunj, New Delhi-110070 , India, Email Id: contact@cafindia.o rg, Website Address : http://www.cafindi a.org",Social,4214595
2017-2018,Delhi,Delhi,231650727,1,Food and Agriculture Organisation of the r United Nations,Institutional,"Viale delle Terme di Caracalla 00153 Rome , Italy, Email Id: , Website Address :",Economic,2869436
2017-2018,Delhi,Delhi,231650727,2,t s The Asia Foundation i,Institutional,"114 Jor Bagh, New Delhi-110003, India , India, Email Id: , Website Address :",Economic,800000
2017-2018,Delhi,Delhi,231650727,3,n Diepartment for MInternational Development,Institutional,"British High Commission, Shantipath, Chanakyapuri, New Delhi , India, Email Id: , Website Address :",Economic,8787363
2017-2018,Delhi,Delhi,231650727,4,Economic Research Institute for ASEAN and East Asia,Institutional,"Sentral Senayan II6th floor Jalan Asia Afrika No.8Gelora Bung Karno, SenayanJakarta Pusat 10270, Indonesia , Indonesia, Email Id: , Website Address : http://www.eria.org",Economic,2604431
2017-2018,Delhi,Delhi,231650727,5,The ASEAN Secretariat,Institutional,"70A. Jalan Sisingamangaraja, Jakarta 12110 , Indonesia, Email Id: , Website Address : http://asean.org",Economic,5021383
2017-2018,Delhi,Delhi,231650727,6,University of Central Lancashire,Institutional,"Preston PR1 2HE, UK , United Kingdom, Email Id: , Website Address : http://ec.europa.eu",Economic,7466137
2017-2018,Delhi,Delhi,231661237,1,Gaden Shartse Buddhist Institute,Institutional,"Taiwan , Taiwan, Email Id: , Website Address :",Cultural,125080
2017-2018,Delhi,Delhi,231661237,2,Gaden Shartse Thubten Dhargye Ling,Institutional,"USA , United States of America, Email Id: , Website Address :",Cultural,200043
2017-2018,Delhi,Delhi,231661237,3,Ms Shum Kuen Nei Canny,Individual,"Hongkong , Hong Kong, Email Id: , Website Address :",Cultural,777939
2017-2018,Delhi,Delhi,231661237,4,TENZIN LOBSANG,Individual,"FENGSHAN TEMPLE NO 293, MINGSHAN ROAD, DOULINU CITY, YUNLIN , Taiwan, Email Id: , Website Address :",Cultural,19789902
2017-2018,Delhi,Delhi,231661237,5,ANG HOOI SIM,Individual,"26, JALAN, 14/50, 46100, PETALING JAYA, SELANGOR, MALAYSIA , Malaysia, Email Id: , Website Address :",Cultural,170000
2017-2018,Delhi,Delhi,231661237,6,Foundation for Preservation of Mahayana Tradition,Institutional,"USA , United States of America, Email Id: , Website Address :",Cultural,1478536
2017-2018,Delhi,Delhi,231661237,7,Orient Foundations for Art and Culture,Institutional,"England, UK , United Kingdom, Email Id: , Website Address :",Cultural,10330
2017-2018,Delhi,Delhi,231660003,1,Huge Power Industrial Limited r,Institutional,"TST, Kowloon, Hong Kong , Hong Kong, Email Id: , Website Address :",Social,422297
2017-2018,Delhi,Delhi,231660003,2,t s Uttar Kumar Nepal i n,Individual,"43, Jurong East Avenue, 1, #11-06 Parc, Oasis (Blk H), Singapore 609778 , Singapore, Email Id: , Website Address :",Social,227200
